iter	Passed	Remaining
139	10026	61593
140	10129	61708
141	10231	61818
142	10334	61934
143	10451	62130
144	10563	62290
145	10664	62378
146	10777	62539
147	10876	62615
148	10991	62777
149	11090	62848
150	11195	62949
151	11295	63017
152	11371	62950
153	11451	62906
154	11530	62857
155	11611	62819
156	11684	62737
157	11757	62654
158	11830	62572
159	11909	62524
160	11976	62410
161	12044	62303
162	12113	62202
163	12187	62126
164	12257	62031
165	12325	61924
166	12391	61809
167	12460	61709
168	12531	61618
169	12596	61499
170	12664	61394
171	12731	61286
172	12802	61201
173	12878	61137
174	12948	61044
175	13020	60957
176	13086	60846
177	13152	60738
178	13219	60631
179	13285	60522
180	13350	60408
181	13407	60260
182	13476	60164
183	13550	60092
184	13614	59978
185	13679	59864
186	13747	59767
187	13816	59675
188	13886	59588
189	13948	59463
190	14020	59384
191	14089	59292
192	14158	59200
193	14228	59114
194	14297	59022
195	14357	58895
196	14424	58796
197	14491	58696
198	14558	58601
199	14624	58497
200	14685	58376
201	14751	58276
202	14820	58186
203	14889	58097
204	14955	57998
205	15024	57911
206	15099	57845
207	15160	57726
208	15223	57617
209	15274	57462
210	15329	57322
211	15380	57169
212	15429	57009
213	15487	56885
214	15535	56723
215	15592	56594
216	15653	56483
217	15714	56371
218	15772	56248
219	15826	56112
220	15886	55996
221	15951	55900
222	16017	55809
223	16086	55728
224	16158	55656
225	16221	55554
226	16283	55451
227	16350	55363
228	16413	55262
229	16481	55178
230	16545	55081
231	16612	54994
232	16676	54895
233	16736	54786
234	16805	54707
235	16872	54619
236	16937	54528
237	17005	54446
238	17086	54403
239	17171	54376
240	17250	54328
241	17331	54287
242	17410	54238
243	17493	54201
244	17587	54196
245	17662	54135
246	17728	54047
247	17801	53979
248	17881	53932
249	17950	53852
250	18021	53776
251	18090	53697
252	18151	53594
253	18221	53515
254	18290	53437
255	18354	53344
256	18423	53262
257	18491	53181
258	18561	53105
259	18627	53018
260	18701	52952
261	18765	52859
262	18826	52756
263	18894	52675
264	18965	52602
265	19038	52534
266	19112	52468
267	19172	52367
268	19228	52253
269	19296	52171
270	19355	52066
271	19408	51946
272	19467	51842
273	19534	51760
274	19592	51652
275	19654	51557
276	19732	51504
277	19804	51433
278	19869	51346
279	19925	51236
280	19993	51158
281	20061	51078
282	20126	50991
283	20187	50895
284	20251	50806
285	20325	50743
286	20388	50652
287	20449	50555
288	20513	50468
289	20582	50392
290	20654	50323
291	20721	50242
292	20790	50166
293	20855	50081
294	20920	49997
295	20984	49908
296	21045	49814
297	21112	49734
298	21183	49665
299	21248	49580
300	21317	49505
301	21390	49438
302	21456	49357
303	21521	49273
304	21586	49189
305	21645	49092
306	21715	49019
307	21781	48938
308	21845	48852
309	21919	48788
310	21986	48710
311	22068	48662
312	22146	48609
313	22230	48566
314	22305	48506
315	22384	48453
316	22449	48369
317	22515	48287
318	22581	48206
319	22649	48129
320	22711	48041
321	22776	47957
322	22844	47881
323	22903	47786
324	22965	47697
325	23019	47592
326	23086	47513
327	23148	47426
328	23205	47327
329	23265	47236
330	23332	47158
331	23398	47078
332	23461	46993
333	23526	46912
334	23600	46849
335	23655	46746
336	23719	46664
337	23784	46583
338	23848	46500
339	23906	46406
340	23970	46324
341	24029	46233
342	24092	46147
343	24149	46051
344	24216	45975
345	24280	45895
346	24347	45817
347	24409	45733
348	24473	45650
349	24531	45558
350	24595	45477
351	24659	45395
352	24725	45319
353	24790	45238
354	24859	45166
355	24923	45086
356	24985	45002
357	25048	44919
358	25113	44839
359	25179	44763
360	25250	44694
361	25315	44616
362	25379	44535
363	25450	44468
364	25517	44393
365	25593	44334
366	25673	44281
367	25744	44213
368	25815	44144
369	25883	44071
370	25951	43998
371	26015	43919
372	26079	43838
373	26147	43765
374	26215	43693
375	26282	43617
376	26346	43538
377	26421	43476
378	26485	43396
379	26548	43315
380	26608	43229
381	26671	43149
382	26736	43071
383	26803	42997
384	26870	42923
385	26933	42842
386	26992	42756
387	27058	42680
388	27123	42602
389	27187	42524
390	27259	42457
391	27315	42367
392	27375	42282
393	27438	42202
394	27504	42127
395	27576	42061
396	27647	41993
397	27714	41919
398	27774	41836
399	27836	41755
